individual_local_identifier,Biome,hour,count,average,individual_name
AF_01_JOANA,Atlantic Forest,0.0,26,37.625,JOANA
AF_01_JOANA,Atlantic Forest,1.0,24,37.625,JOANA
AF_01_JOANA,Atlantic Forest,2.0,33,37.625,JOANA
AF_01_JOANA,Atlantic Forest,3.0,29,37.625,JOANA
AF_01_JOANA,Atlantic Forest,4.0,58,37.625,JOANA
AF_01_JOANA,Atlantic Forest,5.0,82,37.625,JOANA
AF_01_JOANA,Atlantic Forest,6.0,76,37.625,JOANA
AF_01_JOANA,Atlantic Forest,7.0,55,37.625,JOANA
AF_01_JOANA,Atlantic Forest,8.0,20,37.625,JOANA
AF_01_JOANA,Atlantic Forest,9.0,20,37.625,JOANA
AF_01_JOANA,Atlantic Forest,10.0,23,37.625,JOANA
AF_01_JOANA,Atlantic Forest,11.0,19,37.625,JOANA
AF_01_JOANA,Atlantic Forest,12.0,21,37.625,JOANA
AF_01_JOANA,Atlantic Forest,13.0,17,37.625,JOANA
AF_01_JOANA,Atlantic Forest,14.0,15,37.625,JOANA
AF_01_JOANA,Atlantic Forest,15.0,18,37.625,JOANA
AF_01_JOANA,Atlantic Forest,16.0,18,37.625,JOANA
AF_01_JOANA,Atlantic Forest,17.0,23,37.625,JOANA
AF_01_JOANA,Atlantic Forest,18.0,42,37.625,JOANA
AF_01_JOANA,Atlantic Forest,19.0,71,37.625,JOANA
AF_01_JOANA,Atlantic Forest,20.0,86,37.625,JOANA
AF_01_JOANA,Atlantic Forest,21.0,68,37.625,JOANA
AF_01_JOANA,Atlantic Forest,22.0,29,37.625,JOANA
AF_01_JOANA,Atlantic Forest,23.0,30,37.625,JOANA
AF_02_PAULETE,Atlantic Forest,0.0,23,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,1.0,17,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,2.0,21,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,3.0,18,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,4.0,31,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,5.0,40,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,6.0,29,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,7.0,16,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,8.0,12,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,9.0,7,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,10.0,11,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,11.0,7,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,12.0,12,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,13.0,4,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,14.0,6,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,15.0,6,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,16.0,8,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,17.0,10,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,18.0,15,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,19.0,31,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,20.0,40,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,21.0,34,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,22.0,17,18.291666666666668,PAULETE
AF_02_PAULETE,Atlantic Forest,23.0,24,18.291666666666668,PAULETE
AF_05_CHUCHU,Atlantic Forest,0.0,10,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,1.0,11,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,2.0,7,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,3.0,19,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,4.0,15,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,5.0,34,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,6.0,19,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,7.0,15,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,8.0,6,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,9.0,3,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,10.0,3,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,11.0,2,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,12.0,8,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,13.0,5,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,14.0,2,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,15.0,3,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,16.0,6,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,17.0,10,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,18.0,17,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,19.0,31,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,20.0,32,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,21.0,18,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,22.0,9,12.25,CHUCHU
AF_05_CHUCHU,Atlantic Forest,23.0,9,12.25,CHUCHU
AF_12_PATRICIA,Atlantic Forest,0.0,6,8.363636363636363,PATRICIA
AF_12_PATRICIA,Atlantic Forest,1.0,9,8.363636363636363,PATRICIA
