individual_local_identifier,Biome,hour,count,unique_days,average,individual_name
AF_01_JOANA,Atlantic Forest,0.0,26,18,1.4444444444444444,JOANA
AF_01_JOANA,Atlantic Forest,1.0,24,16,1.5,JOANA
AF_01_JOANA,Atlantic Forest,2.0,33,22,1.5,JOANA
AF_01_JOANA,Atlantic Forest,3.0,29,20,1.45,JOANA
AF_01_JOANA,Atlantic Forest,4.0,58,57,1.0175438596491229,JOANA
AF_01_JOANA,Atlantic Forest,5.0,82,52,1.5769230769230769,JOANA
AF_01_JOANA,Atlantic Forest,6.0,76,51,1.4901960784313726,JOANA
AF_01_JOANA,Atlantic Forest,7.0,55,37,1.4864864864864864,JOANA
AF_01_JOANA,Atlantic Forest,8.0,20,17,1.1764705882352942,JOANA
AF_01_JOANA,Atlantic Forest,9.0,20,13,1.5384615384615385,JOANA
AF_01_JOANA,Atlantic Forest,10.0,23,16,1.4375,JOANA
AF_01_JOANA,Atlantic Forest,11.0,19,13,1.4615384615384615,JOANA
AF_01_JOANA,Atlantic Forest,12.0,21,17,1.2352941176470589,JOANA
AF_01_JOANA,Atlantic Forest,13.0,17,13,1.3076923076923077,JOANA
AF_01_JOANA,Atlantic Forest,14.0,15,12,1.25,JOANA
AF_01_JOANA,Atlantic Forest,15.0,18,15,1.2,JOANA
AF_01_JOANA,Atlantic Forest,16.0,18,13,1.3846153846153846,JOANA
AF_01_JOANA,Atlantic Forest,17.0,23,17,1.3529411764705883,JOANA
AF_01_JOANA,Atlantic Forest,18.0,42,41,1.024390243902439,JOANA
AF_01_JOANA,Atlantic Forest,19.0,71,51,1.392156862745098,JOANA
AF_01_JOANA,Atlantic Forest,20.0,86,54,1.5925925925925926,JOANA
AF_01_JOANA,Atlantic Forest,21.0,68,45,1.511111111111111,JOANA
AF_01_JOANA,Atlantic Forest,22.0,29,19,1.5263157894736843,JOANA
AF_01_JOANA,Atlantic Forest,23.0,30,18,1.6666666666666667,JOANA
AF_02_PAULETE,Atlantic Forest,0.0,23,16,1.4375,PAULETE
AF_02_PAULETE,Atlantic Forest,1.0,17,12,1.4166666666666667,PAULETE
AF_02_PAULETE,Atlantic Forest,2.0,21,15,1.4,PAULETE
AF_02_PAULETE,Atlantic Forest,3.0,18,14,1.2857142857142858,PAULETE
AF_02_PAULETE,Atlantic Forest,4.0,31,30,1.0333333333333334,PAULETE
AF_02_PAULETE,Atlantic Forest,5.0,40,32,1.25,PAULETE
