hour,Biome,count,radian
0,Atlantic Forest,136,0.0
0,Cerrado,3884,0.0
0,Pantanal,5957,0.0
1,Atlantic Forest,118,0.2617993877991494
1,Cerrado,3916,0.2617993877991494
1,Pantanal,6218,0.2617993877991494
2,Atlantic Forest,121,0.5235987755982988
2,Cerrado,3860,0.5235987755982988
2,Pantanal,6128,0.5235987755982988
3,Atlantic Forest,150,0.7853981633974483
3,Cerrado,3971,0.7853981633974483
3,Pantanal,6333,0.7853981633974483
4,Atlantic Forest,314,1.0471975511965976
4,Cerrado,3929,1.0471975511965976
4,Pantanal,6180,1.0471975511965976
5,Atlantic Forest,401,1.308996938995747
5,Cerrado,3873,1.308996938995747
5,Pantanal,6149,1.308996938995747
6,Atlantic Forest,326,1.5707963267948966
6,Cerrado,3723,1.5707963267948966
6,Pantanal,5586,1.5707963267948966
7,Atlantic Forest,208,1.832595714594046
7,Cerrado,3731,1.832595714594046
7,Pantanal,5586,1.832595714594046
8,Atlantic Forest,95,2.0943951023931953
8,Cerrado,3667,2.0943951023931953
8,Pantanal,5548,2.0943951023931953
9,Atlantic Forest,54,2.356194490192345
9,Cerrado,3659,2.356194490192345
9,Pantanal,5691,2.356194490192345
10,Atlantic Forest,43,2.617993877991494
10,Cerrado,3577,2.617993877991494
10,Pantanal,5431,2.617993877991494
11,Atlantic Forest,34,2.8797932657906435
11,Cerrado,3606,2.8797932657906435
11,Pantanal,5425,2.8797932657906435
12,Atlantic Forest,51,3.141592653589793
12,Cerrado,3532,3.141592653589793
12,Pantanal,5252,3.141592653589793
13,Atlantic Forest,33,3.4033920413889422
13,Cerrado,3547,3.4033920413889422
13,Pantanal,5244,3.4033920413889422
14,Atlantic Forest,30,3.665191429188092
14,Cerrado,3471,3.665191429188092
14,Pantanal,5084,3.665191429188092
15,Atlantic Forest,40,3.926990816987241
15,Cerrado,3518,3.926990816987241
15,Pantanal,5181,3.926990816987241
16,Atlantic Forest,58,4.1887902047863905
16,Cerrado,3520,4.1887902047863905
16,Pantanal,5090,4.1887902047863905
17,Atlantic Forest,109,4.45058959258554
17,Cerrado,3684,4.45058959258554
17,Pantanal,5384,4.45058959258554
18,Atlantic Forest,316,4.71238898038469
18,Cerrado,3852,4.71238898038469
18,Pantanal,5967,4.71238898038469
19,Atlantic Forest,442,4.974188368183839
19,Cerrado,3967,4.974188368183839
19,Pantanal,6602,4.974188368183839
20,Atlantic Forest,388,5.235987755982988
20,Cerrado,3934,5.235987755982988
20,Pantanal,6189,5.235987755982988
21,Atlantic Forest,297,5.497787143782138
21,Cerrado,3952,5.497787143782138
21,Pantanal,6054,5.497787143782138
22,Atlantic Forest,158,5.759586531581287
22,Cerrado,3893,5.759586531581287
22,Pantanal,5885,5.759586531581287
23,Atlantic Forest,152,6.021385919380436
23,Cerrado,3932,6.021385919380436
23,Pantanal,6059,6.021385919380436
