hour,Biome,individual_local_identifier,count,radian,individual_name
0,Atlantic Forest,AF_01_JOANA,1,0.0,JOANA
0,Atlantic Forest,AF_02_PAULETE,1,0.0,PAULETE
0,Atlantic Forest,AF_05_CHUCHU,1,0.0,CHUCHU
0,Atlantic Forest,AF_12_PATRICIA,1,0.0,PATRICIA
0,Atlantic Forest,AF_14_JAMESBOND,1,0.0,JAMESBOND
0,Atlantic Forest,AF_15_GEORGETE,1,0.0,GEORGETE
0,Atlantic Forest,AF_20_CHICO,1,0.0,CHICO
0,Atlantic Forest,AF_23_TONHA,1,0.0,TONHA
0,Atlantic Forest,AF_24_TINA,1,0.0,TINA
0,Atlantic Forest,AF_25_MAMA,1,0.0,MAMA
0,Cerrado,CE_03_LOU,1,0.0,LOU
0,Cerrado,CE_04_TITI,1,0.0,TITI
0,Cerrado,CE_08_COLOMBINA,1,0.0,COLOMBINA
0,Cerrado,CE_09_PANA,1,0.0,PANA
0,Cerrado,CE_10_ELIS,1,0.0,ELIS
0,Cerrado,CE_11_ZACA,1,0.0,ZACA
0,Cerrado,CE_13_SULI,1,0.0,SULI
0,Cerrado,CE_15_KURUKA,1,0.0,KURUKA
0,Cerrado,CE_17_ARNO,1,0.0,ARNO
0,Cerrado,CE_21_ZEMARIA,1,0.0,ZEMARIA
0,Cerrado,CE_22_ZEFA,1,0.0,ZEFA
0,Cerrado,CE_23_CARABI,1,0.0,CARABI
0,Cerrado,CE_25_SEGRE,1,0.0,SEGRE
0,Cerrado,CE_27_DONALINA,1,0.0,DONALINA
0,Cerrado,CE_28_ZIGGY,1,0.0,ZIGGY
0,Cerrado,CE_31_ANNA,1,0.0,ANNA
0,Cerrado,CE_34_DONACIDA,1,0.0,DONACIDA
0,Pantanal,PA_03_BANDAID,1,0.0,BANDAID
0,Pantanal,PA_05_KELLY,1,0.0,KELLY
0,Pantanal,PA_08_BENJAMIN,1,0.0,BENJAMIN
0,Pantanal,PA_09_SONIAMADALENA,1,0.0,SONIAMADALENA
0,Pantanal,PA_10_VIVEK,1,0.0,VIVEK
