hour,Biome,individual_local_identifier,count,individual_name
0.0,Atlantic Forest,AF_01_JOANA,0.0,JOANA
0.0,Atlantic Forest,AF_02_PAULETE,0.0,PAULETE
0.0,Atlantic Forest,AF_05_CHUCHU,0.0,CHUCHU
0.0,Atlantic Forest,AF_12_PATRICIA,0.0,PATRICIA
0.0,Atlantic Forest,AF_14_JAMESBOND,0.0,JAMESBOND
0.0,Atlantic Forest,AF_15_GEORGETE,0.0,GEORGETE
0.0,Atlantic Forest,AF_20_CHICO,0.0,CHICO
0.0,Atlantic Forest,AF_23_TONHA,0.0,TONHA
0.0,Atlantic Forest,AF_24_TINA,0.0,TINA
0.0,Atlantic Forest,AF_25_MAMA,0.0,MAMA
0.0,Cerrado,CE_03_LOU,0.0,LOU
0.0,Cerrado,CE_04_TITI,0.0,TITI
0.0,Cerrado,CE_08_COLOMBINA,0.0,COLOMBINA
0.0,Cerrado,CE_09_PANA,0.0,PANA
0.0,Cerrado,CE_10_ELIS,0.0,ELIS
0.0,Cerrado,CE_11_ZACA,0.0,ZACA
0.0,Cerrado,CE_13_SULI,0.0,SULI
0.0,Cerrado,CE_15_KURUKA,0.0,KURUKA
0.0,Cerrado,CE_17_ARNO,0.0,ARNO
0.0,Cerrado,CE_21_ZEMARIA,0.0,ZEMARIA
0.0,Cerrado,CE_22_ZEFA,0.0,ZEFA
0.0,Cerrado,CE_23_CARABI,0.0,CARABI
0.0,Cerrado,CE_25_SEGRE,0.0,SEGRE
0.0,Cerrado,CE_27_DONALINA,0.0,DONALINA
0.0,Cerrado,CE_28_ZIGGY,0.0,ZIGGY
0.0,Cerrado,CE_31_ANNA,0.0,ANNA
0.0,Cerrado,CE_34_DONACIDA,0.0,DONACIDA
0.0,Pantanal,PA_03_BANDAID,0.0,BANDAID
0.0,Pantanal,PA_05_KELLY,0.0,KELLY
0.0,Pantanal,PA_08_BENJAMIN,0.0,BENJAMIN
0.0,Pantanal,PA_09_SONIAMADALENA,0.0,SONIAMADALENA
0.0,Pantanal,PA_10_VIVEK,0.0,VIVEK
0.0,Pantanal,PA_11_LUIS,0.0,LUIS
0.0,Pantanal,PA_12_FELIPPE,0.0,FELIPPE
0.0,Pantanal,PA_13_RITA,0.0,RITA
0.0,Pantanal,PA_15_MORENA,0.0,MORENA
0.0,Pantanal,PA_16_DORA,0.0,DORA
0.0,Pantanal,PA_18_NIC,0.0,NIC
0.0,Pantanal,PA_19_SERGIAO,0.0,SERGIAO
0.0,Pantanal,PA_20_SY,0.0,SY
0.0,Pantanal,PA_21_CAIO,0.0,CAIO
0.0,Pantanal,PA_22_EMILIO,0.0,EMILIO
0.0,Pantanal,PA_23_RICK,0.0,RICK
0.0,Pantanal,PA_24_LESLIE,0.0,LESLIE
0.0,Pantanal,PA_26_SACHIN,0.0,SACHIN
0.0,Pantanal,PA_28_DUDA,0.0,DUDA
0.0,Pantanal,PA_29_KARIN,0.0,KARIN
0.0,Pantanal,PA_30_NELSAO,0.0,NELSAO
0.0,Pantanal,PA_31_JORDANO,0.0,JORDANO
0.0,Pantanal,PA_33_GABRIELA,0.0,GABRIELA
0.0,Pantanal,PA_34_CARIJO,0.0,CARIJO
0.0,Pantanal,PA_36_MICHELE,0.0,MICHELE
0.0,Pantanal,PA_38_CASSANDRA,0.0,CASSANDRA
0.0,Pantanal,PA_40_MALU,0.0,MALU
0.0,Pantanal,PA_47_MORENINHO,0.0,MORENINHO
0.0,Pantanal,PA_48_TED,0.0,TED
0.0,Pantanal,PA_49_WALLY,0.0,WALLY
0.0,Pantanal,PA_51_MUCCI,0.0,MUCCI
0.0,Pantanal,PA_52_WIE,0.0,WIE
0.0,Pantanal,PA_54_PAULONA,0.0,PAULONA
0.0,Pantanal,PA_58_LIANA,0.0,LIANA
0.0,Pantanal,PA_59_POPEYE,0.0,POPEYE
0.0,Pantanal,PA_61_DOINHO,0.0,DOINHO
0.0,Pantanal,PA_62_PRETINHO,0.0,PRETINHO
0.0,Pantanal,PA_64_COLUMBUS,0.0,COLUMBUS
0.0,Pantanal,PA_65_VALENTINA,0.0,VALENTINA
0.0,Pantanal,PA_67_CARMINHA,0.0,CARMINHA
0.0,Pantanal,PA_68_FAROFO,0.0,FAROFO
0.0,Pantanal,PA_69_ANGELINA,0.0,ANGELINA
0.0,Pantanal,PA_71_SIDNEY,0.0,SIDNEY
0.0,Pantanal,PA_74_LAURO,0.0,LAURO
0.0,Pantanal,PA_82_DONNA,0.0,DONNA
0.0,Pantanal,PA_86_CUZINHO,0.0,CUZINHO
1.0,Atlantic Forest,AF_01_JOANA,1.0,JOANA
1.0,Atlantic Forest,AF_02_PAULETE,1.0,PAULETE
1.0,Atlantic Forest,AF_05_CHUCHU,1.0,CHUCHU
1.0,Atlantic Forest,AF_12_PATRICIA,1.0,PATRICIA
1.0,Atlantic Forest,AF_14_JAMESBOND,1.0,JAMESBOND
1.0,Atlantic Forest,AF_15_GEORGETE,1.0,GEORGETE
1.0,Atlantic Forest,AF_20_CHICO,1.0,CHICO
1.0,Atlantic Forest,AF_23_TONHA,1.0,TONHA
1.0,Atlantic Forest,AF_24_TINA,1.0,TINA
1.0,Atlantic Forest,AF_25_MAMA,1.0,MAMA
1.0,Cerrado,CE_03_LOU,1.0,LOU
1.0,Cerrado,CE_04_TITI,1.0,TITI
1.0,Cerrado,CE_08_COLOMBINA,1.0,COLOMBINA
1.0,Cerrado,CE_09_PANA,1.0,PANA
1.0,Cerrado,CE_10_ELIS,1.0,ELIS
1.0,Cerrado,CE_11_ZACA,1.0,ZACA
1.0,Cerrado,CE_13_SULI,1.0,SULI
1.0,Cerrado,CE_15_KURUKA,1.0,KURUKA
1.0,Cerrado,CE_17_ARNO,1.0,ARNO
1.0,Cerrado,CE_21_ZEMARIA,1.0,ZEMARIA
1.0,Cerrado,CE_22_ZEFA,1.0,ZEFA
1.0,Cerrado,CE_23_CARABI,1.0,CARABI
1.0,Cerrado,CE_25_SEGRE,1.0,SEGRE
1.0,Cerrado,CE_27_DONALINA,1.0,DONALINA
1.0,Cerrado,CE_28_ZIGGY,1.0,ZIGGY
1.0,Cerrado,CE_31_ANNA,1.0,ANNA
1.0,Cerrado,CE_34_DONACIDA,1.0,DONACIDA
1.0,Pantanal,PA_03_BANDAID,1.0,BANDAID
1.0,Pantanal,PA_05_KELLY,1.0,KELLY
1.0,Pantanal,PA_08_BENJAMIN,1.0,BENJAMIN
1.0,Pantanal,PA_09_SONIAMADALENA,1.0,SONIAMADALENA
1.0,Pantanal,PA_10_VIVEK,1.0,VIVEK
1.0,Pantanal,PA_11_LUIS,1.0,LUIS
1.0,Pantanal,PA_12_FELIPPE,1.0,FELIPPE
1.0,Pantanal,PA_13_RITA,1.0,RITA
1.0,Pantanal,PA_15_MORENA,1.0,MORENA
1.0,Pantanal,PA_16_DORA,1.0,DORA
1.0,Pantanal,PA_18_NIC,1.0,NIC
1.0,Pantanal,PA_19_SERGIAO,1.0,SERGIAO
1.0,Pantanal,PA_20_SY,1.0,SY
1.0,Pantanal,PA_21_CAIO,1.0,CAIO
1.0,Pantanal,PA_22_EMILIO,1.0,EMILIO
1.0,Pantanal,PA_23_RICK,1.0,RICK
1.0,Pantanal,PA_24_LESLIE,1.0,LESLIE
1.0,Pantanal,PA_26_SACHIN,1.0,SACHIN
1.0,Pantanal,PA_28_DUDA,1.0,DUDA
1.0,Pantanal,PA_29_KARIN,1.0,KARIN
1.0,Pantanal,PA_30_NELSAO,1.0,NELSAO
1.0,Pantanal,PA_31_JORDANO,1.0,JORDANO
1.0,Pantanal,PA_33_GABRIELA,1.0,GABRIELA
1.0,Pantanal,PA_34_CARIJO,1.0,CARIJO
1.0,Pantanal,PA_36_MICHELE,1.0,MICHELE
1.0,Pantanal,PA_38_CASSANDRA,1.0,CASSANDRA
1.0,Pantanal,PA_40_MALU,1.0,MALU
1.0,Pantanal,PA_47_MORENINHO,1.0,MORENINHO
1.0,Pantanal,PA_48_TED,1.0,TED
1.0,Pantanal,PA_49_WALLY,1.0,WALLY
1.0,Pantanal,PA_51_MUCCI,1.0,MUCCI
1.0,Pantanal,PA_52_WIE,1.0,WIE
1.0,Pantanal,PA_54_PAULONA,1.0,PAULONA
1.0,Pantanal,PA_58_LIANA,1.0,LIANA
1.0,Pantanal,PA_59_POPEYE,1.0,POPEYE
1.0,Pantanal,PA_61_DOINHO,1.0,DOINHO
1.0,Pantanal,PA_62_PRETINHO,1.0,PRETINHO
1.0,Pantanal,PA_64_COLUMBUS,1.0,COLUMBUS
1.0,Pantanal,PA_65_VALENTINA,1.0,VALENTINA
1.0,Pantanal,PA_67_CARMINHA,1.0,CARMINHA
1.0,Pantanal,PA_68_FAROFO,1.0,FAROFO
1.0,Pantanal,PA_69_ANGELINA,1.0,ANGELINA
1.0,Pantanal,PA_71_SIDNEY,1.0,SIDNEY
1.0,Pantanal,PA_74_LAURO,1.0,LAURO
1.0,Pantanal,PA_82_DONNA,1.0,DONNA
1.0,Pantanal,PA_86_CUZINHO,1.0,CUZINHO
2.0,Atlantic Forest,AF_01_JOANA,2.0,JOANA
2.0,Atlantic Forest,AF_02_PAULETE,2.0,PAULETE
2.0,Atlantic Forest,AF_05_CHUCHU,2.0,CHUCHU
2.0,Atlantic Forest,AF_12_PATRICIA,2.0,PATRICIA
2.0,Atlantic Forest,AF_14_JAMESBOND,2.0,JAMESBOND
2.0,Atlantic Forest,AF_15_GEORGETE,2.0,GEORGETE
2.0,Atlantic Forest,AF_20_CHICO,2.0,CHICO
2.0,Atlantic Forest,AF_23_TONHA,2.0,TONHA
2.0,Atlantic Forest,AF_24_TINA,2.0,TINA
2.0,Atlantic Forest,AF_25_MAMA,2.0,MAMA
2.0,Cerrado,CE_03_LOU,2.0,LOU
2.0,Cerrado,CE_04_TITI,2.0,TITI
2.0,Cerrado,CE_08_COLOMBINA,2.0,COLOMBINA
2.0,Cerrado,CE_09_PANA,2.0,PANA
2.0,Cerrado,CE_10_ELIS,2.0,ELIS
2.0,Cerrado,CE_11_ZACA,2.0,ZACA
2.0,Cerrado,CE_13_SULI,2.0,SULI
2.0,Cerrado,CE_15_KURUKA,2.0,KURUKA
2.0,Cerrado,CE_17_ARNO,2.0,ARNO
2.0,Cerrado,CE_21_ZEMARIA,2.0,ZEMARIA
2.0,Cerrado,CE_22_ZEFA,2.0,ZEFA
2.0,Cerrado,CE_23_CARABI,2.0,CARABI
2.0,Cerrado,CE_25_SEGRE,2.0,SEGRE
2.0,Cerrado,CE_27_DONALINA,2.0,DONALINA
2.0,Cerrado,CE_28_ZIGGY,2.0,ZIGGY
2.0,Cerrado,CE_31_ANNA,2.0,ANNA
2.0,Cerrado,CE_34_DONACIDA,2.0,DONACIDA
2.0,Pantanal,PA_03_BANDAID,2.0,BANDAID
