hour,Biome,individual_local_identifier,count,radian,individual_name
0,Atlantic Forest,AF_01_JOANA,26,0.0,JOANA
0,Atlantic Forest,AF_02_PAULETE,23,0.0,PAULETE
0,Atlantic Forest,AF_05_CHUCHU,10,0.0,CHUCHU
0,Atlantic Forest,AF_12_PATRICIA,6,0.0,PATRICIA
0,Atlantic Forest,AF_14_JAMESBOND,19,0.0,JAMESBOND
0,Atlantic Forest,AF_15_GEORGETE,10,0.0,GEORGETE
0,Atlantic Forest,AF_20_CHICO,14,0.0,CHICO
0,Atlantic Forest,AF_23_TONHA,13,0.0,TONHA
0,Atlantic Forest,AF_24_TINA,10,0.0,TINA
0,Atlantic Forest,AF_25_MAMA,5,0.0,MAMA
0,Cerrado,CE_03_LOU,494,0.0,LOU
0,Cerrado,CE_04_TITI,194,0.0,TITI
0,Cerrado,CE_08_COLOMBINA,23,0.0,COLOMBINA
0,Cerrado,CE_09_PANA,21,0.0,PANA
0,Cerrado,CE_10_ELIS,10,0.0,ELIS
0,Cerrado,CE_11_ZACA,126,0.0,ZACA
0,Cerrado,CE_13_SULI,57,0.0,SULI
0,Cerrado,CE_15_KURUKA,71,0.0,KURUKA
0,Cerrado,CE_17_ARNO,246,0.0,ARNO
0,Cerrado,CE_21_ZEMARIA,393,0.0,ZEMARIA
0,Cerrado,CE_22_ZEFA,80,0.0,ZEFA
0,Cerrado,CE_23_CARABI,460,0.0,CARABI
0,Cerrado,CE_25_SEGRE,453,0.0,SEGRE
0,Cerrado,CE_27_DONALINA,41,0.0,DONALINA
0,Cerrado,CE_28_ZIGGY,405,0.0,ZIGGY
0,Cerrado,CE_31_ANNA,435,0.0,ANNA
0,Cerrado,CE_34_DONACIDA,375,0.0,DONACIDA
0,Pantanal,PA_03_BANDAID,12,0.0,BANDAID
0,Pantanal,PA_05_KELLY,7,0.0,KELLY
0,Pantanal,PA_08_BENJAMIN,27,0.0,BENJAMIN
0,Pantanal,PA_09_SONIAMADALENA,32,0.0,SONIAMADALENA
0,Pantanal,PA_10_VIVEK,27,0.0,VIVEK
0,Pantanal,PA_11_LUIS,8,0.0,LUIS
0,Pantanal,PA_12_FELIPPE,3,0.0,FELIPPE
0,Pantanal,PA_13_RITA,23,0.0,RITA
0,Pantanal,PA_15_MORENA,158,0.0,MORENA
0,Pantanal,PA_16_DORA,18,0.0,DORA
0,Pantanal,PA_18_NIC,12,0.0,NIC
0,Pantanal,PA_19_SERGIAO,536,0.0,SERGIAO
0,Pantanal,PA_20_SY,57,0.0,SY
0,Pantanal,PA_21_CAIO,6,0.0,CAIO
0,Pantanal,PA_22_EMILIO,3,0.0,EMILIO
0,Pantanal,PA_23_RICK,17,0.0,RICK
0,Pantanal,PA_24_LESLIE,13,0.0,LESLIE
0,Pantanal,PA_26_SACHIN,13,0.0,SACHIN
0,Pantanal,PA_28_DUDA,479,0.0,DUDA
0,Pantanal,PA_29_KARIN,7,0.0,KARIN
