individual_local_identifier,hour,distance_meters,distance_km,num_points,distance_per_point_meters,distance_per_point_km,individual_name,Biome,sex,age,count
AF_01_JOANA,0,18576.54,18.58,26,714.48,0.71,JOANA,Atlantic Forest,FEMALE,ADULT,26
AF_01_JOANA,1,21129.3,21.13,24,880.39,0.88,JOANA,Atlantic Forest,FEMALE,ADULT,24
AF_01_JOANA,2,25301.68,25.3,33,766.72,0.77,JOANA,Atlantic Forest,FEMALE,ADULT,33
AF_01_JOANA,3,23505.45,23.51,29,810.53,0.81,JOANA,Atlantic Forest,FEMALE,ADULT,29
AF_01_JOANA,4,54520.03,54.52,58,940.0,0.94,JOANA,Atlantic Forest,FEMALE,ADULT,58
AF_01_JOANA,5,57502.12,57.5,82,701.25,0.7,JOANA,Atlantic Forest,FEMALE,ADULT,82
AF_01_JOANA,6,46481.74,46.48,76,611.6,0.61,JOANA,Atlantic Forest,FEMALE,ADULT,76
AF_01_JOANA,7,27981.54,27.98,55,508.76,0.51,JOANA,Atlantic Forest,FEMALE,ADULT,55
AF_01_JOANA,8,14388.75,14.39,20,719.44,0.72,JOANA,Atlantic Forest,FEMALE,ADULT,20
AF_01_JOANA,9,10857.95,10.86,20,542.9,0.54,JOANA,Atlantic Forest,FEMALE,ADULT,20
AF_01_JOANA,10,10705.54,10.71,23,465.46,0.47,JOANA,Atlantic Forest,FEMALE,ADULT,23
AF_01_JOANA,11,10527.09,10.53,19,554.06,0.55,JOANA,Atlantic Forest,FEMALE,ADULT,19
AF_01_JOANA,12,16722.36,16.72,21,796.3,0.8,JOANA,Atlantic Forest,FEMALE,ADULT,21
AF_01_JOANA,13,10046.02,10.05,17,590.94,0.59,JOANA,Atlantic Forest,FEMALE,ADULT,17
AF_01_JOANA,14,11405.44,11.41,15,760.36,0.76,JOANA,Atlantic Forest,FEMALE,ADULT,15
AF_01_JOANA,15,16559.95,16.56,18,920.0,0.92,JOANA,Atlantic Forest,FEMALE,ADULT,18
AF_01_JOANA,16,13700.98,13.7,18,761.17,0.76,JOANA,Atlantic Forest,FEMALE,ADULT,18
AF_01_JOANA,17,18874.84,18.87,23,820.65,0.82,JOANA,Atlantic Forest,FEMALE,ADULT,23
AF_01_JOANA,18,31520.6,31.52,42,750.49,0.75,JOANA,Atlantic Forest,FEMALE,ADULT,42
AF_01_JOANA,19,42261.63,42.26,71,595.23,0.6,JOANA,Atlantic Forest,FEMALE,ADULT,71
AF_01_JOANA,20,55783.48,55.78,86,648.65,0.65,JOANA,Atlantic Forest,FEMALE,ADULT,86
AF_01_JOANA,21,41606.12,41.61,68,611.85,0.61,JOANA,Atlantic Forest,FEMALE,ADULT,68
AF_01_JOANA,22,22354.91,22.35,29,770.86,0.77,JOANA,Atlantic Forest,FEMALE,ADULT,29
AF_01_JOANA,23,18541.13,18.54,30,618.04,0.62,JOANA,Atlantic Forest,FEMALE,ADULT,30
AF_02_PAULETE,0,14241.43,14.24,23,619.19,0.62,PAULETE,Atlantic Forest,FEMALE,ADULT,23
AF_02_PAULETE,1,11468.43,11.47,17,674.61,0.67,PAULETE,Atlantic Forest,FEMALE,ADULT,17
AF_02_PAULETE,2,12437.26,12.44,21,592.25,0.59,PAULETE,Atlantic Forest,FEMALE,ADULT,21
AF_02_PAULETE,3,10324.02,10.32,18,573.56,0.57,PAULETE,Atlantic Forest,FEMALE,ADULT,18
AF_02_PAULETE,4,34067.7,34.07,31,1098.96,1.1,PAULETE,Atlantic Forest,FEMALE,ADULT,31
AF_02_PAULETE,5,41625.76,41.63,40,1040.64,1.04,PAULETE,Atlantic Forest,FEMALE,ADULT,40
AF_02_PAULETE,6,20103.26,20.1,29,693.22,0.69,PAULETE,Atlantic Forest,FEMALE,ADULT,29
