occurrenceID,countryCode,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,numberOfRoadkill,year,month,day,roadID,roadType,surveyType,roadLength,initialRoadLatitude,initialRoadLongitude,finalRoadLatitude,finalRoadLongitude,surveyPeriod,startYear,finalYear,firstMonthOfTheYear,lastMonthOfTheYear,surveyFrequency,associatedReferences
81024828-37ad-4122-8489-379390b98625,BR,Brazil,Caiapônia,-17.001193,-51.845725,WGS84,30,Tapirus terrestris,1,2014,6,23,BR-158 and GO-221,paved (1 lane),Systematic,170,-17.828564,-51.781388,-16.719717,-52.3062,365,2014,2015,1,1,1/month,Miranda et al. 2017
7eccc41a-c573-49bd-8b59-866f47ed727e,BR,Brazil,Jataí,-17.855259,-51.544348,WGS84,30,Tapirus terrestris,1,2014,6,22,BR-060,paved (2 lanes),Systematic,162,-17.890777,-51.657249,-17.400106,-50.388618,365,2014,2015,1,1,1/month,Miranda et al. 2017
53e6858e-1ec7-4d78-9968-570fa7da3db3,BR,Brazil,Aparecida do Rio Doce,-18.234498,-51.279195,WGS84,30,Tapirus terrestris,1,2014,11,8,"BR-364, GO-206 and GO-178",paved (1 lane),Systematic,186,-19.056796,-51.528589,-17.926345,-51.687762,365,2014,2015,1,1,1/month,Miranda et al. 2017
37c2be15-23f6-4e83-a16f-d093df743854,BR,Brazil,Gouvelândia,-18.457623,-50.251564,WGS84,30,Tapirus terrestris,1,2023,8,9,GO_206,paved (1 lane),Opportunistic,34.9,-18.4398107,-50.4173977,-18.4472559,-50.1434539,,,,,,,
76d0496e-11e6-4652-90ca-ec1fd07305a5,BR,Brazil,Itarumã,-18.867309,-51.40725,WGS84,30,Tapirus terrestris,1,2023,7,6,GO_178,paved (1 lane),Opportunistic,269.5,-18.4570649,-50.4867351,-19.7333505,-51.9252295,,,,,,,
371197d1-1847-4c4d-9b37-96d303fedf5f,BR,Brazil,Porto Esperança,-19.5581,-57.3727,WGS84,30,Tapirus terrestris,1,2017,10,10,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
7aa2ad36-0902-4a3e-bd4f-c293bccfa1e0,BR,Brazil,Inocência,-19.573444,-51.887195,WGS84,30,Tapirus terrestris,1,2023,9,21,MS_112,paved (1 lane),Opportunistic,269.5,-18.4570649,-50.4867351,-19.7333505,-51.9252295,,,,,,,
ae05b460-3f44-4dc2-92b6-98cb8cd6235e,BR,Brazil,Miranda,-19.8835,-56.8737,WGS84,30,Tapirus terrestris,1,2018,4,10,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
641f7bfe-1cd7-4e61-84b3-7ec00053e192,BR,Brazil,Miranda,-19.9878,-56.8259,WGS84,30,Tapirus terrestris,1,2017,5,9,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
d8499501-aef5-4ee8-9118-9242fbcc3f16,BR,Brazil,Ribas do Rio Pardo,-20.1819,-54.0591,WGS84,30,Tapirus terrestris,1,2018,6,26,MS040,paved (1 lane),Systematic,224,-20.555412,-54.555259,-21.298545,-52.840677,1095,2017,2020,2,2,2/month,Ascensao et al. 2021
1375c02f-b1cc-466e-afad-d75e6575a24e,BR,Brazil,Miranda,-20.1904,-56.484,WGS84,30,Tapirus terrestris,1,2017,3,13,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
