,distance_meters,distance_meters,distance_meters,distance_meters,distance_meters,num_points
,sum,mean,std,min,max,sum
individual,,,,,,
AF_01_JOANA,620855.1950684786,25868.966461186606,15451.139438827136,10046.02240523719,57502.117184250645,903
AF_02_PAULETE,377840.0748089707,15743.336450373778,10160.035347950221,4551.465422368631,41625.75871555785,439
AF_05_CHUCHU,340040.23385519226,14168.343077299678,11981.568386473136,167.65394435719585,38939.43553156965,294
AF_12_PATRICIA,184950.43299744092,8406.837863520042,6715.665435136659,0.0,21741.01747772736,184
AF_14_JAMESBOND,129271.29370497011,6155.775890712863,4847.384806911731,0.0,13973.454316302912,291
AF_15_GEORGETE,87156.96917727997,3789.4334424904337,3291.2707122810334,0.0,11820.0826500096,205
AF_17_ESPERTA,45519.19404050432,2677.5996494414308,2786.062750672941,0.0,8463.306899060537,105
AF_20_CHICO,479286.9240510742,22823.186859574962,15000.559972010875,0.0,50965.318177126435,440
AF_23_TONHA,281348.0458472411,14067.402292362056,12519.898323931506,0.0,41556.303156151764,535
AF_24_TINA,261600.97101479836,17440.06473431989,13189.179679676492,4347.799941106413,44978.8161490612,448
AF_25_MAMA,101892.87144731989,5362.782707753679,6087.4282126506505,0.0,20728.2054336958,230
CE_03_LOU,11146043.614305874,464418.48392941145,128255.131097901,324027.85752294614,640518.1725593167,11613
CE_04_TITI,7513226.615675883,313051.1089864951,54882.12197156829,239945.91506934265,394267.6337433988,4477
CE_08_COLOMBINA,488488.41869558604,20353.684112316085,17889.94601655441,0.0,53376.18649289434,567
CE_09_PANA,430181.67907175067,17924.236627989612,15985.684079808707,0.0,42455.610601390435,511
CE_10_ELIS,205078.9910583137,11393.277281017428,7715.482181184202,0.0,23219.251880158023,164
CE_11_ZACA,1582985.701735645,65957.73757231854,35112.820681436446,32988.57655055421,119559.83569596807,2720
CE_13_SULI,780882.4293531979,32536.76788971658,8853.55694018304,23123.608221616585,47810.505148074255,1156
CE_15_KURUKA,1641019.4074881992,68375.80864534163,14919.01020037147,53713.87188965732,96545.71583275545,1630
CE_17_ARNO,4924170.41585913,205173.76732746375,12252.073438782278,182335.32981647816,230673.5186821557,5735
CE_21_ZEMARIA,15311113.370605273,637963.057108553,137070.28131660115,467534.44736414397,846285.8912474512,8827
CE_22_ZEFA,1939584.6384731852,80816.02660304938,13656.962231233532,56941.75069616463,108158.2028423055,1962
CE_23_CARABI,7852110.813276198,327171.28388650826,83429.20833267442,230414.65278459687,459606.9403173825,10876
CE_25_SEGRE,9563678.047157852,398486.58529824385,87751.22966418775,298135.652108364,545097.7789304546,10674
CE_27_DONALINA,363623.86043734325,15150.994184889301,3226.770830151392,9920.896011164397,19821.059672436586,902
CE_28_ZIGGY,5933938.493355941,247247.43722316422,74529.10441732101,170290.27378863352,359258.11868834303,9480
CE_31_ANNA,5858523.486465819,244105.14526940914,123650.31854313948,115351.48072959522,419110.41694463004,10036
CE_34_DONACIDA,13475316.644625464,561471.5268593944,125610.62133941661,420983.59518583753,752908.3797894416,8868
PA_03_BANDAID,96814.43060362656,4209.323069722894,3258.5612481837356,0.0,11569.194187309864,213
PA_05_KELLY,81556.43380816597,3707.1106276439077,2699.2639606193743,0.0,7849.870035435283,189
PA_08_BENJAMIN,385787.22178686905,16773.357468994305,11465.104441609315,0.0,39235.90604901635,535
PA_09_SONIAMADALENA,139877.70743065857,5828.237809610774,2210.992060689205,579.2631808081675,10245.162838767425,672
PA_10_VIVEK,498440.0829901594,22656.367408643608,16197.640030774219,0.0,57111.71815268305,644
PA_11_LUIS,130158.9022344058,6850.468538652937,4639.224730600723,0.0,15516.502747595807,195
PA_12_FELIPPE,48380.095070174764,2419.0047535087383,2635.3695172425487,0.0,11458.42555323768,75
PA_13_RITA,660468.5562866372,27519.523178609885,6516.039811256959,17843.41267528652,42929.03270214833,632
PA_15_MORENA,4193869.4463950736,174744.5602664614,30415.831507391078,119232.9296341517,213372.75419514647,4263
PA_16_DORA,335384.0222573654,15970.667726541209,11170.148701248881,0.0,36229.683050299085,377
PA_18_NIC,182638.65215968553,10146.591786649196,7598.019004501903,683.7285246433561,31193.690591677998,285
PA_19_SERGIAO,17895509.217817273,745646.217409053,139376.48935812185,594019.2327131394,940720.4981488414,12181
PA_20_SY,1637585.0160527062,68232.70900219609,20393.811481010227,46160.457683100736,104819.47739503888,1322
PA_21_CAIO,168388.12813873877,8018.482292320894,6633.934188228712,0.0,21945.655262664914,182
PA_22_EMILIO,44701.3465322503,2483.4081406805726,2126.4003735008273,0.0,8993.346101026327,67
PA_23_RICK,579582.4627327828,25199.23751012099,23357.94104945844,0.0,84556.78551215096,545
PA_24_LESLIE,281636.19638837053,13411.247447065263,9785.900772453897,0.0,31758.98318110516,333
PA_26_SACHIN,333530.5923836131,17554.24170440069,12429.277106752206,0.0,43297.60366172691,325
PA_28_DUDA,9860217.259616641,410842.3858173601,152369.32551164058,253035.36697129975,661094.0604757854,11766
PA_29_KARIN,78413.80510996305,3920.6902554981525,2809.647471409583,0.0,8947.308520786926,147
PA_30_NELSAO,232289.17829711747,12225.746226164078,8941.68407866731,0.0,30755.038948778943,293
PA_31_JORDANO,517723.4247987616,22509.714121685287,16742.706921408328,0.0,61815.46477961478,360
PA_33_GABRIELA,681121.5007924815,28380.06253302006,6984.670499405147,16639.460162351235,43164.3838678377,722
PA_34_CARIJO,14155856.35556947,589827.3481487279,65118.06483458605,485819.99027988024,721369.69567802,10819
PA_36_MICHELE,1046171.8343942377,43590.49309975991,4989.340138940304,30652.886393814406,50681.099698917,1144
PA_38_CASSANDRA,175131.8121209619,9217.4637958401,7064.826189259727,403.1450196761688,23972.594239771704,182
